timestamp,hour,day_of_week,is_weekend,patient_count,avg_ctas,high_acuity_ratio,avg_waiting_time,max_waiting_time,doctors_available,nurses_available,beds_available,arrival_rate,discharge_rate,is_holiday,flu_season,temperature,crowding_level
2023-01-01 11:30:00,11,7,1,86,2.22,,197.4,405.8,6.0,13.0,,39.5,32.7,1,1,10.0,2
2023-01-01 12:00:00,12,7,1,85,3.04,0.365,156.1,,6.0,11.0,11.0,33.3,32.1,1,1,10.0,2
2023-01-01 12:30:00,12,7,1,84,2.59,,167.0,303.6,5.0,10.0,,33.2,33.4,1,1,10.3,2
2023-01-01 13:00:00,13,7,1,85,,0.352,165.8,299.0,,14.0,14.0,36.9,32.2,1,1,10.0,2
2023-01-01 13:30:00,13,7,1,86,2.74,,180.7,348.2,4.0,14.0,,36.0,31.9,1,1,11.1,2
2023-01-01 14:00:00,14,7,1,107,2.6,0.388,186.2,446.4,7.0,13.0,3.0,41.5,41.7,1,1,10.0,2
2023-01-01 14:30:00,14,7,1,84,1.99,,194.7,353.8,7.0,15.0,21.0,35.6,29.5,1,1,10.0,2
2023-01-01 15:00:00,15,7,1,96,2.81,0.342,192.8,386.2,7.0,16.0,12.0,35.7,,1,1,,2
2023-01-01 15:30:00,15,7,1,102,,,196.9,396.2,7.0,13.0,10.0,,,1,1,15.6,2
2023-01-01 16:00:00,16,7,1,115,2.89,0.333,190.5,383.8,6.0,15.0,8.0,,32.5,1,1,10.0,2
2023-01-01 16:30:00,16,7,1,101,2.75,,213.8,,8.0,18.0,4.0,41.3,34.3,1,1,10.0,2
2023-01-01 17:00:00,17,7,1,102,2.54,,,404.3,,,3.0,41.5,36.6,1,1,12.5,2
2023-01-01 17:30:00,17,7,1,103,2.16,0.42,239.9,465.6,4.0,17.0,8.0,37.1,,1,1,10.0,2
2023-01-01 18:00:00,18,7,1,85,2.73,0.366,177.1,340.5,7.0,14.0,15.0,38.6,33.3,1,1,10.6,2
2023-01-01 18:30:00,18,7,1,110,2.61,0.447,219.3,400.0,6.0,12.0,6.0,31.7,27.4,1,1,10.0,2
2023-01-01 19:00:00,19,7,1,110,2.6,0.313,222.1,401.1,8.0,14.0,,37.6,,1,1,10.0,2
2023-01-01 19:30:00,19,7,1,112,2.73,0.425,159.7,327.4,8.0,14.0,6.0,35.1,,1,1,10.6,2
2023-01-01 20:00:00,20,7,1,113,2.79,0.361,185.2,349.2,5.0,10.0,8.0,,34.5,1,1,12.2,2
2023-01-01 20:30:00,20,7,1,75,2.67,,153.3,288.8,4.0,10.0,12.0,22.3,22.1,1,1,10.5,2
2023-01-01 21:00:00,21,7,1,73,,0.444,132.3,266.2,4.0,9.0,22.0,36.2,32.6,1,1,10.0,2
2023-01-01 21:30:00,21,7,1,95,2.81,0.331,209.6,477.9,5.0,10.0,8.0,28.1,23.8,1,1,10.0,2
2023-01-01 22:00:00,22,7,1,85,3.25,0.358,140.6,262.4,5.0,16.0,16.0,38.8,37.9,1,1,10.0,2
2023-01-01 22:30:00,22,7,1,78,2.48,0.347,160.7,357.6,6.0,11.0,20.0,36.2,,1,1,10.0,2
2023-01-01 23:00:00,23,7,1,85,3.11,0.28,166.4,,6.0,11.0,11.0,30.6,26.1,1,1,10.0,2
2023-01-01 23:30:00,23,7,1,82,3.02,0.349,181.1,337.6,,,11.0,27.2,24.2,1,1,13.2,2
2023-01-02 00:00:00,0,1,0,53,2.99,0.23,131.1,357.8,3.0,,24.0,14.0,12.0,1,1,11.0,1
2023-01-02 00:30:00,0,1,0,59,3.68,0.192,127.8,230.9,2.0,,30.0,14.3,13.0,1,1,10.0,1
2023-01-02 01:00:00,1,1,0,20,3.51,0.173,44.2,82.2,1.0,6.0,27.0,18.4,16.7,1,1,11.0,0
2023-01-02 01:30:00,1,1,0,21,,0.205,73.5,210.2,3.0,,34.0,18.8,12.8,1,1,10.0,1
2023-01-02 02:00:00,2,1,0,28,4.1,0.257,42.6,109.9,3.0,5.0,28.0,13.7,20.0,1,1,10.0,0
2023-01-02 02:30:00,2,1,0,29,3.78,0.166,107.2,195.4,2.0,8.0,34.0,13.4,10.1,1,1,11.8,1
2023-01-02 03:00:00,3,1,0,28,3.22,0.248,77.4,155.8,4.0,6.0,24.0,15.0,12.0,1,1,13.1,1
2023-01-02 03:30:00,3,1,0,34,3.69,0.085,95.6,185.9,2.0,4.0,38.0,14.0,14.7,1,1,12.8,0
2023-01-02 04:00:00,4,1,0,32,3.22,0.253,69.4,161.2,3.0,,34.0,14.8,,1,1,10.0,0
2023-01-02 04:30:00,4,1,0,22,,0.128,,174.4,3.0,,30.0,17.7,12.9,1,1,10.0,0
2023-01-02 05:00:00,5,1,0,26,3.55,0.258,101.4,189.1,6.0,8.0,33.0,16.5,10.1,1,1,11.0,1
2023-01-02 05:30:00,5,1,0,51,3.85,,105.2,191.7,5.0,12.0,23.0,11.7,6.6,1,1,12.9,1
2023-01-02 06:00:00,6,1,0,59,2.69,0.373,110.3,222.6,7.0,14.0,22.0,27.7,25.8,1,1,10.0,1
2023-01-02 06:30:00,6,1,0,59,2.99,0.238,124.5,232.9,6.0,10.0,24.0,28.1,23.1,1,1,,1
2023-01-02 07:00:00,7,1,0,48,3.49,0.248,121.4,261.9,6.0,11.0,21.0,25.4,17.8,1,1,10.0,1
2023-01-02 07:30:00,7,1,0,58,2.86,,82.4,,6.0,14.0,26.0,28.9,29.0,1,1,10.0,1
2023-01-02 08:00:00,8,1,0,73,3.15,0.274,,293.2,7.0,12.0,,26.5,21.7,1,1,12.4,2
2023-01-02 08:30:00,8,1,0,69,3.05,,119.7,243.2,7.0,13.0,15.0,23.8,21.0,1,1,14.1,1
2023-01-02 09:00:00,9,1,0,71,3.52,0.295,132.6,242.6,7.0,10.0,20.0,27.9,27.0,1,1,10.0,1
2023-01-02 09:30:00,9,1,0,51,3.24,0.222,126.0,337.6,6.0,,24.0,27.7,25.0,1,1,13.0,1
2023-01-02 10:00:00,10,1,0,69,2.81,0.36,149.6,,8.0,,18.0,30.0,,1,1,,2
2023-01-02 10:30:00,10,1,0,92,2.65,0.357,201.6,379.9,9.0,17.0,14.0,31.8,26.5,1,1,10.0,2
2023-01-02 11:00:00,11,1,0,89,3.53,0.32,151.9,279.1,11.0,18.0,12.0,,25.0,1,1,11.1,2
2023-01-02 11:30:00,11,1,0,78,2.88,0.443,151.6,312.2,9.0,15.0,20.0,29.5,23.2,1,1,14.6,2
2023-01-02 12:00:00,12,1,0,90,2.83,0.305,169.4,323.5,5.0,,5.0,23.9,22.0,1,1,10.0,2
2023-01-02 12:30:00,12,1,0,69,3.05,0.247,135.9,249.9,7.0,17.0,,26.0,,1,1,14.7,1
2023-01-02 13:00:00,13,1,0,69,3.12,0.305,,313.7,6.0,15.0,17.0,28.0,23.2,1,1,10.0,2
2023-01-02 13:30:00,13,1,0,65,2.48,0.379,142.0,292.7,7.0,,17.0,33.6,28.1,1,1,12.5,2
2023-01-02 14:00:00,14,1,0,94,2.72,0.378,169.4,331.3,8.0,15.0,,34.1,28.9,1,1,10.3,2
2023-01-02 14:30:00,14,1,0,92,2.46,,,357.9,8.0,21.0,,,24.1,1,1,10.0,2
2023-01-02 15:00:00,15,1,0,85,,0.323,149.8,320.7,,21.0,18.0,35.9,30.8,1,1,10.3,2
2023-01-02 15:30:00,15,1,0,82,3.16,0.288,162.9,332.9,8.0,17.0,18.0,30.7,22.6,1,1,10.0,2
2023-01-02 16:00:00,16,1,0,114,3.13,0.311,212.9,402.2,9.0,18.0,6.0,32.4,24.8,1,1,10.0,1
2023-01-02 16:30:00,16,1,0,87,,0.261,192.5,347.5,8.0,17.0,12.0,39.6,,1,1,11.1,2
2023-01-02 17:00:00,17,1,0,104,2.36,0.386,191.1,347.2,7.0,18.0,10.0,25.2,23.1,1,1,14.4,2
2023-01-02 17:30:00,17,1,0,89,2.84,,220.7,406.3,8.0,15.0,14.0,,32.9,1,1,10.0,2
2023-01-02 18:00:00,18,1,0,85,2.61,0.394,178.9,327.2,7.0,20.0,19.0,29.2,,1,1,10.0,2
2023-01-02 18:30:00,18,1,0,104,3.08,,319.0983552728118,452.3,10.0,19.0,8.0,37.3,35.2,1,1,10.0,2
2023-01-02 19:00:00,19,1,0,98,2.61,0.419,215.8,,9.0,18.0,13.0,31.5,26.1,1,1,12.7,2
2023-01-02 19:30:00,19,1,0,90,2.53,0.404,152.9,,10.0,15.0,13.0,34.2,32.6,1,1,11.0,2
2023-01-02 20:00:00,20,1,0,88,3.07,0.215,233.8,425.6,5.0,16.0,12.0,36.8,,1,1,10.0,2
2023-01-02 20:30:00,20,1,0,102,3.32,0.261,215.0,392.5,4.0,12.0,15.0,30.2,,1,1,11.5,2
2023-01-02 21:00:00,21,1,0,69,3.28,,157.3,285.4,9.0,14.0,21.0,26.3,20.1,1,1,10.3,2
2023-01-02 21:30:00,21,1,0,81,,,168.1,316.5,5.0,14.0,14.0,32.9,26.7,1,1,12.9,2
2023-01-02 22:00:00,22,1,0,72,3.35,0.282,,280.0,8.0,13.0,,27.2,27.1,1,1,,1
2023-01-02 22:30:00,22,1,0,67,3.45,0.275,144.2,282.5,8.0,20.0,23.0,24.0,20.1,1,1,10.0,2
2023-01-02 23:00:00,23,1,0,67,3.01,,112.0,,7.0,15.0,21.0,27.3,29.1,1,1,10.0,1
2023-01-02 23:30:00,23,1,0,92,2.83,0.315,158.0,,6.0,16.0,10.0,29.2,25.7,1,1,10.0,2
2023-01-03 00:00:00,0,2,0,18,,0.284,32.0,,2.0,9.0,,13.0,,1,1,10.9,0
2023-01-03 00:30:00,0,2,0,41,3.86,0.177,,181.2,5.0,8.0,31.0,8.4,7.0,1,1,10.8,1
2023-01-03 01:00:00,1,2,0,28,3.45,0.22,73.7,140.1,,,29.0,16.1,15.1,1,1,10.0,1
2023-01-03 01:30:00,1,2,0,54,3.23,0.33,139.3,306.4,7.0,5.0,,16.9,9.7,1,1,,1
2023-01-03 02:00:00,2,2,0,33,3.66,0.215,,152.2,3.0,6.0,27.0,,15.1,1,1,,0
2023-01-03 02:30:00,2,2,0,32,3.07,,56.7,,,7.0,28.0,9.6,12.8,1,1,10.0,1
2023-01-03 03:00:00,3,2,0,52,,0.217,134.7,255.8,1.0,6.0,32.0,12.6,6.9,1,1,10.0,1
2023-01-03 03:30:00,3,2,0,45,3.57,0.248,121.3,223.8,4.0,7.0,,19.0,15.3,1,1,10.0,1
2023-01-03 04:00:00,4,2,0,42,3.76,0.177,139.9,283.5,,,29.0,17.5,10.7,1,1,10.0,1
2023-01-03 04:30:00,4,2,0,44,3.4,0.301,95.1,173.4,1.0,11.0,18.0,9.3,,1,1,11.2,1
2023-01-03 05:00:00,5,2,0,25,3.43,0.202,100.1,196.9,4.0,10.0,31.0,,11.9,1,1,15.7,1
2023-01-03 05:30:00,5,2,0,43,3.74,0.276,107.0,342.7,4.0,,29.0,14.1,10.8,1,1,10.5,1
2023-01-03 06:00:00,6,2,0,61,,0.301,150.7,272.0,5.0,13.0,20.0,24.5,,1,1,10.8,1
2023-01-03 06:30:00,6,2,0,67,2.52,0.32,111.9,255.6,4.0,13.0,19.0,24.5,25.4,1,1,10.0,1
2023-01-03 07:00:00,7,2,0,68,3.58,0.222,121.9,,,9.0,22.0,24.8,23.9,1,1,10.0,1
2023-01-03 07:30:00,7,2,0,19,3.04,0.33,227.07499289159935,280.1,,13.0,24.0,20.9,15.4,1,1,10.0,1
2023-01-03 08:00:00,8,2,0,69,2.92,0.37,147.9,367.2,4.0,11.0,16.0,27.9,21.7,1,1,10.2,2
2023-01-03 08:30:00,8,2,0,61,,0.342,133.0,246.9,6.0,15.0,,26.0,22.5,1,1,,1
2023-01-03 09:00:00,9,2,0,51,2.73,0.335,76.3,153.1,10.0,,,30.7,29.9,1,1,,0
2023-01-03 09:30:00,9,2,0,62,3.9,0.305,115.5,220.7,5.0,9.0,13.0,22.2,21.2,1,1,10.9,1
2023-01-03 10:00:00,10,2,0,81,2.51,0.433,189.3,352.0,7.0,16.0,15.0,25.9,17.9,1,1,10.0,2
2023-01-03 10:30:00,10,2,0,87,2.45,0.334,143.8,292.8,7.0,15.0,6.0,32.7,29.8,1,1,10.0,2
2023-01-03 11:00:00,11,2,0,57,2.82,0.337,,271.8,6.0,18.0,31.0,34.4,,1,1,13.4,1
2023-01-03 11:30:00,11,2,0,85,2.49,0.479,168.4,358.7,7.0,15.0,11.0,29.5,26.4,1,1,12.3,2
2023-01-03 12:00:00,12,2,0,76,2.94,0.34,168.3,309.1,7.0,,20.0,,32.4,1,1,12.4,2
2023-01-03 12:30:00,12,2,0,89,3.39,,182.8,344.0,7.0,18.0,20.0,,30.4,1,1,,2
2023-01-03 13:00:00,13,2,0,81,2.95,0.299,182.8,352.4,6.0,14.0,17.0,28.2,20.7,1,1,14.2,2
2023-01-03 13:30:00,13,2,0,78,3.0,0.258,,378.3,8.0,17.0,10.0,26.3,26.0,1,1,10.0,1
2023-01-03 14:00:00,14,2,0,88,2.69,0.347,178.5,341.9,8.0,19.0,,36.8,30.5,1,1,11.8,2
2023-01-03 14:30:00,14,2,0,93,2.47,0.372,181.6,343.0,5.0,,12.0,,28.5,1,1,16.6,2
2023-01-03 15:00:00,15,2,0,99,2.69,0.277,217.8,,11.0,19.0,17.0,35.6,28.1,1,1,10.0,2
2023-01-03 15:30:00,15,2,0,81,3.1,,199.7,,7.0,17.0,15.0,37.2,,1,1,10.0,2
2023-01-03 16:00:00,16,2,0,87,3.19,0.336,152.2,280.0,6.0,,16.0,28.4,,1,1,10.3,2
2023-01-03 16:30:00,16,2,0,105,2.79,,200.0,382.6,5.0,,13.0,35.1,33.9,1,1,,2
2023-01-03 17:00:00,17,2,0,86,3.04,0.298,175.2,355.5,11.0,,17.0,40.4,36.7,1,1,10.0,2
2023-01-03 17:30:00,17,2,0,94,2.55,0.392,180.0,415.3,7.0,20.0,10.0,35.3,29.8,1,1,10.2,2
2023-01-03 18:00:00,18,2,0,78,2.6,0.388,181.8,334.1,5.0,18.0,,37.9,,1,1,10.0,2
2023-01-03 18:30:00,18,2,0,73,2.3,0.478,123.3,275.8,7.0,22.0,21.0,29.8,29.7,1,1,11.4,1
2023-01-03 19:00:00,19,2,0,80,3.11,0.283,178.5,332.4,9.0,13.0,21.0,32.9,28.4,1,1,10.0,2
2023-01-03 19:30:00,19,2,0,83,2.61,,215.1,404.3,7.0,16.0,17.0,37.1,27.1,1,1,14.6,2
2023-01-03 20:00:00,20,2,0,87,2.56,0.454,168.8,304.2,4.0,19.0,13.0,23.4,22.2,1,1,,2
2023-01-03 20:30:00,20,2,0,88,3.11,0.267,,303.3,,14.0,11.0,33.3,,1,1,10.0,2
2023-01-03 21:00:00,21,2,0,57,3.36,0.266,130.9,355.7,5.0,,18.0,24.3,22.1,1,1,12.4,1
2023-01-03 21:30:00,21,2,0,71,2.85,0.337,165.9,402.1,8.0,18.0,13.0,31.1,24.8,1,1,10.0,2
2023-01-03 22:00:00,22,2,0,83,2.43,0.377,183.7,346.8,6.0,,11.0,31.3,22.8,1,1,10.7,2
2023-01-03 22:30:00,22,2,0,75,2.86,0.38,148.6,275.4,7.0,13.0,17.0,28.5,24.7,1,1,13.9,2
2023-01-03 23:00:00,23,2,0,92,3.03,0.189,133.5,251.5,8.0,17.0,9.0,30.8,30.2,1,1,10.0,2
2023-01-03 23:30:00,23,2,0,83,3.14,0.271,140.3,335.8,7.0,13.0,13.0,32.4,30.7,1,1,,2
2023-01-04 00:00:00,0,3,0,26,3.83,0.245,61.6,113.7,3.0,4.0,35.0,13.4,,0,1,10.8,0
2023-01-04 00:30:00,0,3,0,27,3.62,0.19,76.6,167.8,4.0,5.0,28.0,16.2,11.6,0,1,12.3,0
2023-01-04 01:00:00,1,3,0,15,3.52,0.207,173.3515340087702,64.7,,10.0,29.0,14.9,19.8,0,1,10.0,0
2023-01-04 01:30:00,1,3,0,20,3.8,,68.3,152.1,1.0,7.0,36.0,13.0,12.6,0,1,10.0,0
2023-01-04 02:00:00,2,3,0,38,3.2,,98.7,222.6,1.0,7.0,26.0,14.3,10.0,0,1,11.6,1
2023-01-04 02:30:00,2,3,0,36,3.31,0.285,98.7,262.6,7.0,10.0,33.0,22.8,20.9,0,1,,0
2023-01-04 03:00:00,3,3,0,33,3.38,0.258,84.3,187.9,7.0,8.0,33.0,21.0,18.1,0,1,10.8,0
2023-01-04 03:30:00,3,3,0,31,3.46,0.197,114.5,224.0,1.0,8.0,26.0,11.4,1.9,0,1,11.0,1
2023-01-04 04:00:00,4,3,0,19,,0.301,66.1,133.8,2.0,8.0,34.0,9.4,7.9,0,1,10.0,0
2023-01-04 04:30:00,4,3,0,34,,0.132,109.5,228.1,4.0,7.0,29.0,17.0,,0,1,10.7,1
2023-01-04 05:00:00,5,3,0,30,,0.176,82.4,148.8,4.0,10.0,33.0,11.3,10.3,0,1,10.9,0
2023-01-04 05:30:00,5,3,0,49,2.79,,109.1,227.4,4.0,4.0,23.0,12.7,8.3,0,1,10.0,2
2023-01-04 06:00:00,6,3,0,37,3.6,0.12,91.6,,,13.0,28.0,19.3,15.8,0,1,15.6,1
2023-01-04 06:30:00,6,3,0,43,3.46,0.24,107.4,212.1,5.0,,26.0,16.6,10.8,0,1,11.4,1
2023-01-04 07:00:00,7,3,0,35,,0.332,93.3,,7.0,16.0,36.0,21.8,17.5,0,1,10.0,0
2023-01-04 07:30:00,7,3,0,48,3.45,0.335,78.8,222.8,,12.0,24.0,17.3,18.3,0,1,12.0,1
2023-01-04 08:00:00,8,3,0,33,3.34,0.313,55.7,131.3,5.0,,,21.3,19.7,0,1,10.0,0
2023-01-04 08:30:00,8,3,0,62,3.66,0.28,96.2,175.1,4.0,11.0,,19.4,18.2,0,1,12.4,1
2023-01-04 09:00:00,9,3,0,61,3.08,,121.1,260.0,,15.0,19.0,19.5,17.9,0,1,13.5,1
2023-01-04 09:30:00,9,3,0,49,3.83,0.171,117.5,242.5,6.0,11.0,34.0,15.3,11.1,0,1,10.0,1
2023-01-04 10:00:00,10,3,0,55,3.4,0.287,122.0,233.8,7.0,20.0,26.0,41.661075073967666,,0,1,,1
2023-01-04 10:30:00,10,3,0,50,2.93,0.361,116.4,213.6,8.0,14.0,28.0,21.3,16.8,0,1,11.2,1
2023-01-04 11:00:00,11,3,0,58,2.89,0.346,141.3,,,,,34.2,28.3,0,1,12.5,1
2023-01-04 11:30:00,11,3,0,71,3.16,0.292,140.7,290.7,4.0,17.0,20.0,40.59086350474363,25.2,0,1,,1
2023-01-04 12:00:00,12,3,0,57,2.78,0.275,142.2,261.2,8.0,14.0,,29.7,25.2,0,1,10.0,1
2023-01-04 12:30:00,12,3,0,84,3.05,0.206,202.4,387.2,12.0,16.0,19.0,25.5,23.5,0,1,10.0,1
2023-01-04 13:00:00,13,3,0,80,3.52,0.249,189.3,354.5,5.0,18.0,15.0,29.8,22.7,0,1,10.0,2
2023-01-04 13:30:00,13,3,0,65,3.17,0.353,,285.0,8.0,16.0,22.0,37.4,,0,1,10.0,1
2023-01-04 14:00:00,14,3,0,67,3.65,0.175,106.3,205.1,7.0,21.0,22.0,32.3,,0,1,10.0,1
2023-01-04 14:30:00,14,3,0,66,2.79,0.357,,277.3,10.0,16.0,16.0,25.4,21.9,0,1,11.0,1
2023-01-04 15:00:00,15,3,0,88,,0.318,184.2,379.1,8.0,19.0,6.0,25.8,18.8,0,1,10.8,2
2023-01-04 15:30:00,15,3,0,65,2.86,0.35,110.7,204.0,,20.0,,31.8,27.5,0,1,,1
2023-01-04 16:00:00,16,3,0,81,2.96,0.269,191.7,347.3,5.0,17.0,17.0,32.3,,0,1,10.0,2
2023-01-04 16:30:00,16,3,0,72,3.17,0.205,148.7,291.1,,23.0,21.0,22.3,18.2,0,1,14.4,1
2023-01-04 17:00:00,17,3,0,79,2.8,0.29,173.8,338.5,6.0,19.0,18.0,28.9,20.1,0,1,10.0,2
2023-01-04 17:30:00,17,3,0,64,2.76,0.348,131.2,236.7,7.0,19.0,21.0,26.2,20.5,0,1,18.2,1
2023-01-04 18:00:00,18,3,0,69,,0.291,136.6,312.9,8.0,17.0,20.0,22.5,,0,1,11.9,1
2023-01-04 18:30:00,18,3,0,72,2.86,0.32,156.4,298.0,9.0,,15.0,25.9,17.9,0,1,,2
2023-01-04 19:00:00,19,3,0,66,2.72,,141.1,295.6,8.0,19.0,24.0,22.6,15.2,0,1,,1
2023-01-04 19:30:00,19,3,0,84,3.45,0.239,,278.3,9.0,15.0,16.0,25.8,19.6,0,1,11.4,0
2023-01-04 20:00:00,20,3,0,54,3.07,0.312,119.0,234.7,6.0,14.0,21.0,24.9,,0,1,10.0,1
2023-01-04 20:30:00,20,3,0,55,3.41,0.212,133.4,289.5,,19.0,14.0,27.1,24.6,0,1,12.1,1
2023-01-04 21:00:00,21,3,0,75,3.39,0.292,150.9,282.3,7.0,16.0,19.0,26.0,,0,1,11.4,1
2023-01-04 21:30:00,21,3,0,73,,0.204,128.4,241.9,7.0,12.0,17.0,19.9,16.6,0,1,10.0,1
2023-01-04 22:00:00,22,3,0,77,2.76,0.353,167.2,317.9,9.0,17.0,20.0,41.79602674240001,17.0,0,1,,1
2023-01-04 22:30:00,22,3,0,42,3.06,,91.3,215.1,9.0,13.0,24.0,,22.0,0,1,10.0,1
2023-01-04 23:00:00,23,3,0,63,3.37,0.233,,275.3,9.0,14.0,19.0,24.6,19.2,0,1,,1
2023-01-04 23:30:00,23,3,0,62,2.98,0.312,130.1,247.3,6.0,15.0,25.0,31.3,29.7,0,1,12.6,1
2023-01-05 00:00:00,0,4,0,23,4.04,0.171,49.9,105.5,3.0,7.0,37.0,18.7,21.1,0,1,,0
2023-01-05 00:30:00,0,4,0,32,,0.293,86.7,178.6,4.0,9.0,26.0,15.4,14.3,0,1,10.0,1
2023-01-05 01:00:00,1,4,0,26,3.84,0.223,83.6,,2.0,8.0,,19.1,,0,1,10.5,1
2023-01-05 01:30:00,1,4,0,30,3.46,0.156,132.7,242.2,1.0,7.0,39.0,,13.3,0,1,11.2,1
2023-01-05 02:00:00,2,4,0,63,3.91,0.217,99.1,,2.0,4.0,,11.6,16.6,0,1,10.0,1
2023-01-05 02:30:00,2,4,0,32,3.68,0.246,62.7,,2.0,8.0,34.0,,24.0,0,1,10.5,0
2023-01-05 03:00:00,3,4,0,32,3.34,0.271,75.7,141.8,4.0,9.0,29.0,14.5,10.2,0,1,10.2,1
2023-01-05 03:30:00,3,4,0,37,3.84,0.246,,153.7,4.0,6.0,28.0,13.5,10.1,0,1,10.0,1
2023-01-05 04:00:00,4,4,0,31,3.08,0.319,65.6,173.2,3.0,9.0,26.0,6.5,3.8,0,1,,1
2023-01-05 04:30:00,4,4,0,18,3.49,0.188,84.1,216.3,,6.0,36.0,7.7,6.5,0,1,11.7,0
2023-01-05 05:00:00,5,4,0,12,,0.333,37.9,78.5,3.0,,38.0,20.1,18.4,0,1,13.2,0
2023-01-05 05:30:00,5,4,0,29,3.73,,100.1,200.0,3.0,8.0,32.0,17.8,,0,1,13.2,1
2023-01-05 06:00:00,6,4,0,48,2.5,0.311,91.1,191.7,5.0,10.0,27.0,18.1,14.5,0,1,,1
2023-01-05 06:30:00,6,4,0,31,3.38,0.236,117.4,243.9,3.0,9.0,28.0,22.3,18.9,0,1,10.0,2
2023-01-05 07:00:00,7,4,0,67,3.42,0.236,151.5,361.8,5.0,13.0,,17.1,15.5,0,1,11.5,1
2023-01-05 07:30:00,7,4,0,51,3.07,0.325,135.0,266.3,,,22.0,20.6,15.9,0,1,11.5,1
2023-01-05 08:00:00,8,4,0,65,3.22,0.324,172.1,316.5,5.0,14.0,22.0,22.8,,0,1,,1
2023-01-05 08:30:00,8,4,0,28,3.32,0.28,111.9,232.5,5.0,13.0,,23.1,15.3,0,1,21.6,1
2023-01-05 09:00:00,9,4,0,65,3.59,0.264,149.2,295.4,6.0,11.0,14.0,18.5,17.0,0,1,11.7,1
2023-01-05 09:30:00,9,4,0,46,2.66,0.375,100.1,185.1,5.0,8.0,,17.4,,0,1,13.4,1
2023-01-05 10:00:00,10,4,0,77,3.1,0.187,171.1,312.5,8.0,16.0,22.0,20.7,14.9,0,1,12.9,1
2023-01-05 10:30:00,10,4,0,67,3.26,0.232,135.6,259.7,5.0,,26.0,27.9,28.0,0,1,12.0,1
2023-01-05 11:00:00,11,4,0,69,3.3,0.154,146.8,267.5,9.0,14.0,15.0,21.1,15.6,0,1,,1
2023-01-05 11:30:00,11,4,0,69,3.05,0.267,131.7,238.5,9.0,15.0,19.0,30.0,,0,1,12.3,1
2023-01-05 12:00:00,12,4,0,61,3.29,0.265,136.2,263.5,8.0,14.0,19.0,35.2,29.5,0,1,10.0,1
